"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
118,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e15","Summit (1)",,"NULL","NULL","NULL","NULL"
119,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e16","Last Stand (2)",,"NULL","NULL","NULL","NULL"
120,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e17","Fail Safe",,"NULL","NULL","NULL","NULL"
121,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e18","The Warrior",,"NULL","NULL","NULL","NULL"
122,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e19","Menace",,"NULL","NULL","NULL","NULL"
123,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e20","The Sentinel",,"NULL","NULL","NULL","NULL"
124,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e21","Meridian",,"NULL","NULL","NULL","NULL"
125,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e22","Revelations",,"NULL","NULL","NULL","NULL"
126,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e01","Redemption (1)",,"NULL","NULL","NULL","NULL"
127,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e02","Redemption (2)",,"NULL","NULL","NULL","NULL"
128,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e03","Descent",,"NULL","NULL","NULL","NULL"
129,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e04","Frozen",,"NULL","NULL","NULL","NULL"
130,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e05","Nightwalkers",,"NULL","NULL","NULL","NULL"
131,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e06","Abyss",,"NULL","NULL","NULL","NULL"
132,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e07","Shadow Play",,"NULL","NULL","NULL","NULL"
133,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e08","The Other Guys",,"NULL","NULL","NULL","NULL"
134,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e09","Allegiance",,"NULL","NULL","NULL","NULL"
135,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e10","Cure",,"NULL","NULL","NULL","NULL"
136,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e11","Prometheus (1)",,"NULL","NULL","NULL","NULL"
137,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e12","Unnatural Selection (2)",,"NULL","NULL","NULL","NULL"
138,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e13","Sight Unseen",,"NULL","NULL","NULL","NULL"
139,"SCI_FI","Show","True",2002,"Stargate SG-1","s06e14","Smoke & Mirrors",,"NULL","NULL","NULL","NULL"
140,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e15","Paradise Lost",,"NULL","NULL","NULL","NULL"
141,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e16","Metamorphosis",,"NULL","NULL","NULL","NULL"
142,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e17","Disclosure",,"NULL","NULL","NULL","NULL"
143,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e18","Forsaken",,"NULL","NULL","NULL","NULL"
144,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e19","The Changeling",,"NULL","NULL","NULL","NULL"
145,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e20","Memento",,"NULL","NULL","NULL","NULL"
146,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e21","Prophecy",,"NULL","NULL","NULL","NULL"
147,"SCI_FI","Show","True",2003,"Stargate SG-1","s06e22","Full Circle",,"NULL","NULL","NULL","NULL"
148,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e01","Fallen (1)",,"NULL","NULL","NULL","NULL"
149,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e02","Homecoming (2)",,"NULL","NULL","NULL","NULL"
150,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e03","Fragile Balance",,"NULL","NULL","NULL","NULL"
151,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e04","Orpheus",,"NULL","NULL","NULL","NULL"
152,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e05","Revisions",,"NULL","NULL","NULL","NULL"
153,"SCI_FI","Show","True",2003,"Stargate SG-1","s07e06","Lifeboat",,"NULL","NULL","NULL","NULL"
